Year,College,Sport,Gender,Expense ($)
2017,Siena,Baseball,Mens,611714
2016,Siena,Baseball,Mens,612210
2015,Siena,Baseball,Mens,1317174
2014,Siena,Baseball,Mens,685460
2013,Siena,Baseball,Mens,671252
2012,Siena,Baseball,Mens,658656
2011,Siena,Baseball,Mens,689064
2010,Siena,Baseball,Mens,652976
2009,Siena,Baseball,Mens,644556
2008,Siena,Baseball,Mens,498509
2007,Siena,Baseball,Mens,485159
2006,Siena,Baseball,Mens,594576
2005,Siena,Baseball,Mens,480125
2017,Siena,Basketball,Mens,3579394
2016,Siena,Basketball,Mens,3102278
2015,Siena,Basketball,Mens,3083128
2014,Siena,Basketball,Mens,2516769
2013,Siena,Basketball,Mens,2802018
2012,Siena,Basketball,Mens,2668068
2011,Siena,Basketball,Mens,2293234
2010,Siena,Basketball,Mens,2211650
2009,Siena,Basketball,Mens,2275880
2008,Siena,Basketball,Mens,1835834
2007,Siena,Basketball,Mens,1671304
2006,Siena,Basketball,Mens,1289662
2005,Siena,Basketball,Mens,1408797
2017,Siena,Basketball,Womens,1839383
2016,Siena,Basketball,Womens,1726019
2015,Siena,Basketball,Womens,1544049
2014,Siena,Basketball,Womens,1502855
2013,Siena,Basketball,Womens,1546617
2012,Siena,Basketball,Womens,1485806
2011,Siena,Basketball,Womens,1709080
2010,Siena,Basketball,Womens,1359730
2009,Siena,Basketball,Womens,1262826
2008,Siena,Basketball,Womens,1174341
2007,Siena,Basketball,Womens,1078909
2006,Siena,Basketball,Womens,1123616
2005,Siena,Basketball,Womens,997063
2017,Siena,Golf,Mens,228139
2016,Siena,Golf,Mens,175313
2015,Siena,Golf,Mens,154226
2014,Siena,Golf,Mens,136723
2013,Siena,Golf,Mens,182513
2012,Siena,Golf,Mens,116242
2011,Siena,Golf,Mens,142919
2010,Siena,Golf,Mens,155769
2009,Siena,Golf,Mens,121664
2008,Siena,Golf,Mens,101746
2007,Siena,Golf,Mens,129898
2006,Siena,Golf,Mens,119361
2005,Siena,Golf,Mens,103384
2017,Siena,Golf,Womens,3579394
2016,Siena,Golf,Womens,3102278
2015,Siena,Golf,Womens,3083128
2014,Siena,Golf,Womens,2516769
2013,Siena,Golf,Womens,2802018
2012,Siena,Golf,Womens,2668068
2011,Siena,Golf,Womens,2293234
2010,Siena,Golf,Womens,2211650
2009,Siena,Golf,Womens,2275880
2008,Siena,Golf,Womens,1835834
2007,Siena,Golf,Womens,1671304
2006,Siena,Golf,Womens,1289662
2005,Siena,Golf,Womens,1408797
2017,Siena,Lacrosse,Mens,1000196
2016,Siena,Lacrosse,Mens,818004
2015,Siena,Lacrosse,Mens,820868
2014,Siena,Lacrosse,Mens,747151
2013,Siena,Lacrosse,Mens,636031
2012,Siena,Lacrosse,Mens,673013
2011,Siena,Lacrosse,Mens,539017
2010,Siena,Lacrosse,Mens,510325
2009,Siena,Lacrosse,Mens,422173
2008,Siena,Lacrosse,Mens,202477
2007,Siena,Lacrosse,Mens,237736
2006,Siena,Lacrosse,Mens,207261
2005,Siena,Lacrosse,Mens,178079
2017,Siena,Lacrosse,Womens,684465
2016,Siena,Lacrosse,Womens,548234
2015,Siena,Lacrosse,Womens,491108
2014,Siena,Lacrosse,Womens,386459
2013,Siena,Lacrosse,Womens,375286
2012,Siena,Lacrosse,Womens,318743
2011,Siena,Lacrosse,Womens,329738
2010,Siena,Lacrosse,Womens,236348
2009,Siena,Lacrosse,Womens,225384
2008,Siena,Lacrosse,Womens,166648
2007,Siena,Lacrosse,Womens,149756
2006,Siena,Lacrosse,Womens,110985
2005,Siena,Lacrosse,Womens,95341
2017,Siena,Soccer,Mens,721411
2016,Siena,Soccer,Mens,671584
2015,Siena,Soccer,Mens,623458
2014,Siena,Soccer,Mens,637817
2013,Siena,Soccer,Mens,637626
2012,Siena,Soccer,Mens,662203
2011,Siena,Soccer,Mens,610631
2010,Siena,Soccer,Mens,645798
2009,Siena,Soccer,Mens,516503
2008,Siena,Soccer,Mens,467991
2007,Siena,Soccer,Mens,406846
2006,Siena,Soccer,Mens,422460
2005,Siena,Soccer,Mens,360301
2017,Siena,Soccer,Womens,810478
2016,Siena,Soccer,Womens,740021
2015,Siena,Soccer,Womens,761705
2014,Siena,Soccer,Womens,721574
2013,Siena,Soccer,Womens,625523
2012,Siena,Soccer,Womens,563390
2011,Siena,Soccer,Womens,594110
2010,Siena,Soccer,Womens,596838
2009,Siena,Soccer,Womens,489831
2008,Siena,Soccer,Womens,456543
2007,Siena,Soccer,Womens,432772
2006,Siena,Soccer,Womens,437996
2005,Siena,Soccer,Womens,362751
2017,Siena,Softball,Womens,640955
2016,Siena,Softball,Womens,591089
2015,Siena,Softball,Womens,519014
2014,Siena,Softball,Womens,539284
2013,Siena,Softball,Womens,472554
2012,Siena,Softball,Womens,529800
2011,Siena,Softball,Womens,534261
2010,Siena,Softball,Womens,481305
2009,Siena,Softball,Womens,445308
2008,Siena,Softball,Womens,439555
2007,Siena,Softball,Womens,370741
2006,Siena,Softball,Womens,395825
2005,Siena,Softball,Womens,410028
2017,Siena,Tennis,Mens,191543
2016,Siena,Tennis,Mens,137763
2015,Siena,Tennis,Mens,71617
2014,Siena,Tennis,Mens,117357
2013,Siena,Tennis,Mens,110015
2012,Siena,Tennis,Mens,123707
2011,Siena,Tennis,Mens,120483
2010,Siena,Tennis,Mens,78512
2009,Siena,Tennis,Mens,77557
2008,Siena,Tennis,Mens,76149
2007,Siena,Tennis,Mens,83636
2006,Siena,Tennis,Mens,69015
2005,Siena,Tennis,Mens,39450
2017,Siena,Tennis,Womens,219419
2016,Siena,Tennis,Womens,218245
2015,Siena,Tennis,Womens,173572
2014,Siena,Tennis,Womens,170722
2013,Siena,Tennis,Womens,157429
2012,Siena,Tennis,Womens,150757
2011,Siena,Tennis,Womens,146291
2010,Siena,Tennis,Womens,131727
2009,Siena,Tennis,Womens,118330
2008,Siena,Tennis,Womens,102616
2007,Siena,Tennis,Womens,119271
2006,Siena,Tennis,Womens,120736
2005,Siena,Tennis,Womens,69438
2017,Siena,XC,Mens,140470
2016,Siena,XC,Mens,169312
2015,Siena,XC,Mens,214428
2014,Siena,XC,Mens,127715
2013,Siena,XC,Mens,130462
2012,Siena,XC,Mens,103172
2011,Siena,XC,Mens,91547
2010,Siena,XC,Mens,79423
2009,Siena,XC,Mens,74673
2008,Siena,XC,Mens,88447
2007,Siena,XC,Mens,58857
2006,Siena,XC,Mens,53572
2005,Siena,XC,Mens,50931
2017,Siena,XC,Womens,96862
2016,Siena,XC,Womens,90958
2015,Siena,XC,Womens,137380
2014,Siena,XC,Womens,80015
2013,Siena,XC,Womens,84269
2012,Siena,XC,Womens,91763
2011,Siena,XC,Womens,54874
2010,Siena,XC,Womens,74203
2009,Siena,XC,Womens,88747
2008,Siena,XC,Womens,69494
2007,Siena,XC,Womens,58857
